1.304,7.576,21.45411204,1234.93,107.87,47,0.1445,0.145,11,5,11,1,0,10,1.93,1.83,25.35,429,4.64,10.5,11.3,18.005,2435.15
0.4328,5.986,18.8288335,933.47,26.9815386,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237,4.19,2.7,10.79,16.472,2792.15
2.309,9.226,20.52132456,1337.33,196.97,79,0.1442,0.136,11,6,11,1,0,10,2.54,2.33,25.418,317,5.32,19.3,12.55,18.145,3129.15
0.28,8.298,25.15520547,2349.15,10.81,5,0.082,0.084,13,2,3,2,1,0,2.04,1.77,11.087,27,4.75,2.34,50.2,86.991,4200.15
0.145,5.212,10.00362751,1000.15,137.33,56,0.2176,0.215,2,6,2,2,0,0,0.89,1.17,28.07,18.4,2.35,3.62,7.75,63.643,2170.15
-0.5,9.322,18.2111209,1560.15,9.0122,4,0.1128,0.096,2,2,2,2,0,0,1.57,2.01,16.443,200,5.08,1.85,12.2,15.788,2742.15
1.262,11.26,24.38306473,3823.15,12.0107,6,0.0773,0.076,14,2,4,2,2,0,2.55,2.51,8.517,129,5,2.2,117,45.803,4300.15
0.025,6.113,11.87127533,1115.15,40.078,20,0.1976,0.176,2,4,2,2,0,0,1,1.32,25.929,200,2.71,1.54,8.54,41.692,1757.15
0.57,5.539,10.8825206,1068.15,140.116,58,0.1825,0.204,3,6,3,2,0,1,1.12,1.31,26.94,11.4,2.8,6.77,5.46,26.296,3716.15
0.662,7.881,17.08037519,1768.15,58.933195,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100,4.7,8.86,16.19,21.845,3200.15
0.676,6.766,16.48546406,2180.15,51.9961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15
1.236,7.726,20.29227341,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401,4.7,8.96,13.05,11.872,2835.15
0.352,5.939,11.71166503,1680.15,162.5,66,0.1774,0.192,3,6,3,2,0,1,1.22,1.35,27.7,10.7,2.75,8.55,11.06,94.724,2840.15
0.312,6.101,11.91895113,1802.15,167.26,68,0.1756,0.189,3,6,3,2,0,1,1.24,1.37,28.12,14.3,2.84,9.07,19.9,61.805,3503.15
0.153,7.903,16.1880085,1811.15,55.845,26,0.1241,0.132,8,4,8,2,0,6,1.83,1.68,25.1,80.2,4.65,7.87,13.8,11.552,3134.15
0.43,5.999,20.51406954,302.9146,69.723,31,0.1392,0.122,13,4,3,2,1,0,1.81,1.37,25.86,40.6,4.25,5.91,5.59,80.645,2477.15
0.137,6.15,12.12623724,1585.15,157.25,64,0.1801,0.196,3,6,3,2,0,1,1.2,1.35,37.03,10.6,5.1,7.9,10.05,66.663,3546.15
1.233,7.899,15.93511945,1211.4,72.63,32,0.124,0.12,14,4,4,2,2,0,2.01,1.88,23.222,59.9,5,5.32,36.94,47.847,3106.15
0.178,6.825,14.92459968,2506.15,178.49,72,0.1578,0.175,4,6,4,2,0,2,1.3,1.48,25.73,23,3.51,13.3,24.06,44.965,4876.15
0.338,6.022,11.81530808,1734.15,164.93032,67,0.1766,0.192,3,6,3,2,0,1,1.23,1.36,27.15,16.2,2.9,8.8,12.2,62.905,2993.15
0.384,5.786,18.87029072,429.75,114.82,49,0.1659,0.142,13,5,3,2,1,0,1.78,1.32,26.74,81.6,4.08,5.77,3.263,27.478,2345.15
1.564,8.967,16.58288853,2719.15,192.22,77,0.1357,0.141,9,6,9,2,0,7,2.2,2.14,25.1,147,5.6,22.5,26.1,14.555,4701.15
0.55,5.577,11.05871379,1193.15,138.91,57,0.1879,0.207,3,6,3,2,0,1,1.1,1.32,27.11,13.5,3.4,6.15,6.2,148.598,3737.15
0.618,5.392,75.63973675,453.69,6.94,3,0.1519,0.128,1,2,1,1,0,0,0.98,1.29,24.86,84.7,3.1,0.534,3,20.121,1615.15
0.239,5.426,13.88816915,1925.15,174.97,71,0.1735,0.187,3,6,3,2,0,1,1.27,1.23,26.86,16.4,3.01,9.84,18.6,58.863,3675.15
-0.4,7.646,15.03549775,923.15,24.305,12,0.1601,0.141,2,3,2,2,0,0,1.31,1.67,24.869,156,3.66,1.74,8.954,204.748,1363.15
-0.5,7.434,15.63973675,1519.15,54.938045,25,0.135,0.139,7,4,7,2,0,5,1.55,1.65,26.32,7.82,3.9,7.3,12.05,320.085,2334.15
0.747,7.092,16.16831632,2896.15,95.95,42,0.1363,0.154,6,5,6,1,0,5,2.16,1.64,24.06,138,4.3,10.2,32,15.892,4912.15
0.917,6.759,14.30274136,2750.15,92.906,41,0.1429,0.164,5,5,5,1,0,4,1.6,1.61,24.6,53.7,4.2,8.57,26.4,18.306,5017.15
1.916,5.525,10.77887755,1297.15,144.24,60,0.164,0.201,3,6,3,2,0,1,1.14,1.56,27.45,16.5,3.1,7.01,7.14,141.755,3347.15
1.157,7.64,18.16862725,1728.15,58.6934,28,0.1246,0.124,10,4,10,2,0,8,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15
0.747,10.487,19.76473027,317.35,30.973762,15,0.106,0.107,15,3,5,2,3,0,2.19,2.27,23.824,0.235,5.1,2.16,0.657,2010.332,553.15
0.357,7.417,15.03342488,600.61,207.2,82,0.175,0.146,14,6,4,2,2,0,2.33,1.62,26.65,35.3,4.18,11.3,4.799,32.207,2022.15
0.562,8.337,19.38125097,1828.05,106.42,46,0.1375,0.139,10,5,10,0,0,10,2.2,1.83,25.98,71.8,5,12,17.6,15.447,3236.15
0.962,5.47,10.57159144,1208.15,140.91,59,0.165,0.203,3,6,3,2,0,1,1.13,1.37,27.2,12.5,2.7,6.77,6.89,73.012,3793.15
2.125,8.959,18.56247085,2041.45,195.08,78,0.1387,0.136,10,6,10,1,0,9,2.28,2.24,25.86,71.6,5.4,21.5,19.6,15.723,4098.15
1.143,7.46,18.03389128,2237.15,102.91,45,0.1345,0.142,9,5,9,1,0,8,2.28,1.78,24.98,150,4.98,12.4,21.5,14.199,3968.15
1.046,7.361,16.79017464,2607.15,101.07,44,0.1338,0.146,8,5,8,1,0,7,2.2,1.74,24.06,117,4.8,12.1,24,27.904,4423.15
1.047,8.608,16.53003057,903.78,121.76,51,0.153,0.139,15,5,5,2,3,0,2.05,1.98,25.23,24.3,4.56,6.68,19.87,64.267,1860.15
0.188,6.562,12.79991709,1814.15,44.955912,21,0.1641,0.17,3,4,3,2,0,1,1.36,1.43,25.52,15.8,3.5,2.99,14.1,49.388,3109.15
1.39,8.152,16.34554594,1687.15,28.085,14,0.1153,0.111,14,3,4,2,2,0,1.9,1.95,19.789,148,4.85,2.329,50.55,40.888,3538.15
0.162,5.644,11.08980671,1345.15,150.36,62,0.181,0.198,3,6,1,0,0,1,1.17,1.26,29.54,13.3,2.95,7.52,8.63,135.539,2067.15
1.112,7.344,14.63232627,505.08,118.71,50,0.162,0.139,14,5,4,2,2,0,1.96,1.75,27.112,66.6,4.35,7.265,7.029,73.396,2875.15
0.052,5.695,11.02969373,1050.15,87.62,38,0.2152,0.195,2,5,2,2,0,0,0.95,1.24,26.4,35.3,2.76,2.64,8.3,54.611,1655.15
0.323,7.55,15.546458,3290.15,180.95,73,0.143,0.17,5,6,5,2,0,3,1.5,1.64,25.36,57.5,4.22,16.4,31.6,18.335,5731.15
1.165,5.864,11.50437892,1629.15,158.93,65,0.1781,0.194,3,6,3,2,0,1,1.21,1.48,28.91,11.1,3,8.23,10.8,96.232,3503.15
0.076,6.828,13.57516712,1941.15,47.867,22,0.1462,0.16,4,4,4,2,0,2,1.54,1.46,25.06,21.9,4.1,4.506,15.45,51.316,3560.15
1.029,6.184,12.02259419,1818.15,168.93,69,0.156,0.19,3,6,3,2,0,1,1.25,1.52,27.03,16.8,2.86,9.32,16.84,60.6,2223.15
0.53,6.194,14.71731357,1405.35,238.02891,92,0.142,0.196,3,7,3,2,0,1,1.38,1.43,27.665,27.6,3.7,19.1,8.52,39.971,4404.15
0.528,6.746,14.65512774,2183.15,50.9415,23,0.1316,0.153,5,4,5,2,0,3,1.63,1.53,24.89,30.7,4.44,6,20.9,13.399,3680.15
0.816,7.864,17.61931907,3695.15,183.84,74,0.1367,0.162,6,6,6,2,0,4,2.36,1.79,24.27,174,4.55,19.3,35.4,16.191,5930.15
0.307,6.217,12.22988029,1799.15,88.90585,39,0.1802,0.19,3,5,3,2,0,1,1.22,1.39,26.53,17.2,3.1,4.47,11.4,65.694,3609.15
-0.02,6.254,12.1759859,1097.15,173.05,70,0.17,0.187,3,6,3,2,0,1,1.26,1.34,26.74,34.9,2.45,6.9,7.66,40.453,1469.15
-0.6,9.394,17.96445043,692.68,65.38,30,0.1395,0.122,12,4,12,2,0,10,1.65,2.04,25.39,116,4.3,7.14,7.322,31.115,1180.15
0.43328,6.634,13.16266777,2128.15,91.224,40,0.1603,0.175,4,5,4,2,0,2,1.33,1.49,25.36,22.7,4,6.52,16.9,46.999,4682.15
