羟基铁,四氧化三铁,碳纤维,二氧化钛,成分A重量,成分B重量,Fe(CO)5,Fe3O4,C(碳纤维),TiO2,Fe,C,O,Ti,最强吸收值/dB,电共振峰位置/GHz,磁共振峰位置/GHz,电共振峰e',电共振峰e'',电共振峰m',电共振峰m'',磁共振峰e',磁共振峰e'',磁共振峰m',磁共振峰m''
1,1,0,0,0,200,0,200,0,0,6,0,8,0,-51.9918,"15.12,15.92",15.2,2.1857;3.2401,3.139;1.2113,2.0472;0.2521,-0.1563;0.6768,2.2947,-0.2113,1.4379,2.9435
1,1,0,0,10,190,10,190,0,0,5.8,0.5,8.1,0,-4.3004,15.6,,3.4819,0.3933,1.0035,0.0262,,,,
1,1,0,0,20,180,20,180,0,0,5.6,1,8.2,0,-10.7387,16,,3.2618,1.1679,1.0186,-0.0184,,,,
1,1,0,0,30,170,30,170,0,0,5.4,1.5,8.3,0,-7.3096,"14.32,15.68",,3.578;3.5226,0.8494;0.7414,0.9838;0.9924,-0.0017;-0.002,,,,
1,1,0,0,40,160,40,160,0,0,5.2,2,8.4,0,-14.4372,16.32,,3.4822,1.4129,1.007,-0.0029,,,,
1,1,0,0,50,150,50,150,0,0,5,2.5,8.5,0,-3.4319,16.24,,3.2438,0.327,1.0212,0.0249,,,,
1,1,0,0,60,140,60,140,0,0,4.8,3,8.6,0,-3.8984,14.96,,3.5201,0.2772,1.0038,0.0371,,,,
1,1,0,0,70,130,70,130,0,0,4.6,3.5,8.7,0,-3.3292,,,,,,,,,,
1,1,0,0,80,120,80,120,0,0,4.4,4,8.8,0,-37.6561,15.84,,3.1447,1.8289,1.0324,0.0686,,,,
1,1,0,0,90,110,90,110,0,0,4.2,4.5,8.9,0,-21.4942,16.16,,3.7429,1.6875,1.0193,0.0181,,,,
1,1,0,0,100,100,100,100,0,0,4,5,9,0,-26.9308,15.28,,3.0195,1.8716,1.0337,-0.0259,,,,
1,1,0,0,110,90,110,90,0,0,3.8,5.5,9.1,0,-4.391,16.16,,3.0133,0.3664,1.0232,0.0475,,,,
1,1,0,0,120,80,120,80,0,0,3.6,6,9.2,0,-12.3024,16.64,,3.0874,1.1247,1.1472,0.067,,,,
1,1,0,0,130,70,130,70,0,0,3.4,6.5,9.3,0,-13.0498,16.56,,3.103,0.9782,1.2368,0.1826,,,,
1,1,0,0,140,60,140,60,0,0,3.2,7,9.4,0,-11.8536,"12.08,15.8",12.4,3.1405;3.0274,0.2459;0.1805,1.155;1.0018,0.3023;0.0761,3.0264,0.1725,0.9678,0.41
1,1,0,0,150,50,150,50,0,0,3,7.5,9.5,0,-3.534,,,,,,,,,,
1,1,0,0,160,40,160,40,0,0,2.8,8,9.6,0,-4.6647,15.52,,3.3173,0.1795,1.0514,0.1141,,,,
1,1,0,0,170,30,170,30,0,0,2.6,8.5,9.7,0,-8.5267,16.96,,2.9329,0.717,1.034,0.0703,,,,
1,1,0,0,180,20,180,20,0,0,2.4,9,9.8,0,-3.3093,,,,,,,,,,
1,1,0,0,190,10,190,10,0,0,2.2,9.5,9.9,0,-5.1275,17.12,,2.6304,0.2026,1.058,0.161,,,,
1,1,0,0,200,0,200,0,0,0,2,10,10,0,-4.2436,,,,,,,,,,
1,0,1,0,0,200,0,0,200,0,0,2,0,0,-1.9529,,,,,,,,,,
1,0,1,0,10,190,10,0,190,0,0.1,2.4,0.5,0,-1.544,"5.12,6.8,8.08,9.52",,63.6309;53.2846;40.7245;23.5346,96.037;100.0568;99.9209;93.3488,0.609;0.57;0.547;0.564,0.1977;0.1186;0.0655;0.0096,,,,
1,0,1,0,20,180,20,0,180,0,0.2,2.8,1,0,-1.2447,"5.28,6.8,8.08,9.52",,109.0926;84.0757;62.5491;31.8678,149.4282;158.8611;157.1511;143.8228,0.4311;0.4187;0.3993;0.4247,0.1741;0.1127;0.0703;0.0221,,,,
1,0,1,0,30,170,30,0,170,0,0.3,3.2,1.5,0,-1.7389,"5.28,6.64,7.92,9.36",,102.9363;76.1156;55.5186;34.1367,132.7096;134.7316;127.6737;114.3234,0.7023;0.6876;0.6712;0.6972,0.2015;0.1452;0.1128;0.0783,,,,
1,0,1,0,40,160,40,0,160,0,0.4,3.6,2,0,-1.2085,"4.96,7.92,9.36",,81.8694;25.3948;5.1258,277.8961;214.1586;179.7878,0.604;0.5909;0.6151,0.1543;0.0874;0.0568,,,,
1,0,1,0,50,150,50,0,150,0,0.5,4,2.5,0,-1.8171,"5.36,7.28,8.24,9.52",,56.0692;50.4339;43.0643;29.9993,74.5117;82.4652;83.9702;80.9368,0.5828;0.5457;0.5301;0.5415,0.2674;0.1788;0.1374;0.0959,,,,
1,0,1,0,60,140,60,0,140,0,0.6,4.4,3,0,-1.8676,"8.4,9.6,10.8",,46.8896;30.4634;19.764,83.9154;87.7923;77.5653,0.4896;0.4917;0.5208,0.0671;-0.0096;-0.0059,,,,
1,0,1,0,70,130,70,0,130,0,0.7,4.8,3.5,0,-1.2702,"5.36,6.8,8.08,9.52",,112.659;83.8559;58.7093;27.5055,158.176;168.7021;164.8674;147.4385,0.483;0.4762;0.4587;0.4893,0.1798;0.1121;0.0698;0.024,,,,
1,0,1,0,80,120,80,0,120,0,0.8,5.2,4,0,-1.4586,"7.04,8.08,9.52",,59.9825;44.1065;17.7579,126.6219;127.5881;115.1063,0.5132;0.494;0.5291,0.091;0.0443;-0.0148,,,,
1,0,1,0,90,110,90,0,110,0,0.9,5.6,4.5,0,-1.783,"8.32,9.52,10.96",,65.8738;48.1501;31.2269,96.9293;99.4741;87.577,0.451;0.4579;0.4935,0.1221;0.0711;0.0706,,,,
1,0,1,0,100,100,100,0,100,0,1,6,5,0,-1.9194,"9.76,11.12,14.24",,49.4446;34.4477;19.4065,69.5984;67.7826;59.6577,0.3924;0.4237;0.4076,0.082;0.0664;0.042,,,,
1,0,1,0,110,90,110,0,90,0,1.1,6.4,5.5,0,-2.3433,"5.28,8.24,9.52",,72.0758;57.7631;49.6646,66.5492;74.7952;75.8466,0.8095;0.7091;0.7108,0.2798;0.1794;0.1283,,,,
1,0,1,0,120,80,120,0,80,0,1.2,6.8,6,0,-3.5881,"9.68,11.2,12.96,14.32",,25.498;21.1841;18.5118;15.1233,33.6699;33.1122;32.6483;32.9282,0.8986;0.9162;0.8815;0.8793,0.0573;0.0336;0.0136;-0.0448,,,,
1,0,1,0,130,70,130,0,70,0,1.3,7.2,6.5,0,-1.8504,12.96,12,9.624,88.6197,1.1783,0.1655,14.1875,87.7926,1.2484,0.2858
1,0,1,0,140,60,140,0,60,0,1.4,7.6,7,0,-4.3743,"9.68,11.04",,27.2727;24.1138,34.6387;31.6701,1.0346;1.0671,-0.0194;-0.0232,,,,
1,0,1,0,150,50,150,0,50,0,1.5,8,7.5,0,-2.7764,"2.72,4.96,9.52,10.88",,109.6698;70.9137;35.1236;29.665,85.021;79.2726;60.9982;53.5371,1.0677;0.9688;0.9302;0.973,0.1784;0.1049;0.0077;0.0275,,,,
1,0,1,0,160,40,160,0,40,0,1.6,8.4,8,0,-2.844,"7.2,8.24,9.52,10.96",,83.6631;69.6861;50.6968;35.5305,92.4832;94.028;91.8626;79.9055,0.5837;0.5596;0.5668;0.5982,0.1669;0.1302;0.0886;0.0983,,,,
1,0,1,0,170,30,170,0,30,0,1.7,8.8,8.5,0,-53.3597,"7.92,9.44,12.88,14.64,16.0",10.56,10.1252;9.5663;9.0516;9.2081;9.1337,3.9957;4.1963;3.1993;3.2867;3.4867,1.1531;1.164;1.1046;1.0665;1.0607,0.0888;0.0829;0.0909;0.0864;0.0712,8.7874,3.6836,1.1405,0.1973
1,0,1,0,180,20,180,0,20,0,1.8,9.2,9,0,-9.8018,"11.36,13.12,14.64,16.0",,15.1293;14.6401;14.2064;12.9499,10.5939;10.3687;10.7214;10.9398,1.0636;1.0339;1.0122;1.035,-0.0055;-0.023;-0.0643;-0.1071,,,,
1,0,1,0,190,10,190,0,10,0,1.9,9.6,9.5,0,-25.1627,12.88,16.08,4.9852,2.2388,1.1857,0.0944,4.6978,0.9971,1.0562,0.3071
1,0,1,0,200,0,200,0,0,0,2,10,10,0,-4.8206,16.4,,2.7395,0.2507,1.0393,0.1187,,,,
0,1,1,0,0,200,0,0,200,0,0,2,0,0,-1.2269,"5.04,8.08,9.52",,103.6038;35.4974;8.3807,200.0825;162.5427;138.3383,0.4301;0.3986;0.4255,0.0996;0.0397;-0.0122,,,,
0,1,1,0,10,190,0,10,190,0,0.3,1.9,0.4,0,-1.3483,"9.76,11.2,14.4,15.84",,79.1042;55.2866;42.1434;30.2406,92.3379;89.9303;78.9001;73.5505,0.2583;0.2992;0.2665;0.2947,0.1003;0.0983;0.0897;0.0734,,,,
0,1,1,0,20,180,0,20,180,0,0.6,1.8,0.8,0,-1.2698,"8.08,9.52",,41.1669;15.5432,161.5489;144.4786,0.4311;0.4601,0.0885;0.0252,,,,
0,1,1,0,30,170,0,30,170,0,0.9,1.7,1.2,0,-1.1784,"4.96,8.08,9.52",,71.6722;44.7329;17.054,188.8158;169.5152;151.6196,0.439;0.3863;0.4122,0.1963;0.1005;0.0456,,,,
0,1,1,0,40,160,0,40,160,0,1.2,1.6,1.6,0,-1.1656,"8.4,9.68",,63.3158;38.7181,117.0494;128.6536,0.3266;0.3331,0.0664;-0.0092,,,,
0,1,1,0,50,150,0,50,150,0,1.5,1.5,2,0,-2.4575,"2.72,5.04,9.76",,77.1547;44.2701;10.6879,74.1195;71.0432;48.6968,0.9134;0.7915;0.7038,0.2275;0.1143;-0.0298,,,,
0,1,1,0,60,140,0,60,140,0,1.8,1.4,2.4,0,-1.5483,10.24,"8.96,10.16",10.0095,45.3928,0.7169,-0.0076,14.5574;9.9115,49.2052;46.0817,0.7271;0.7166,0.0556;-0.0164
0,1,1,0,70,130,0,70,130,0,2.1,1.3,2.8,0,-1.1201,"4.88,8.08,9.52",,65.4436;25.124;-0.4686,259.7407;200.6995;171.6546,0.4687;0.4136;0.4405,0.1665;0.0931;0.0339,,,,
0,1,1,0,80,120,0,80,120,0,2.4,1.2,3.2,0,-1.5252,"7.36,8.64,12.64,14.08",,91.6055;55.474;18.0022;3.7163,134.2866;132.1196;101.9075;88.7213,0.4198;0.4433;0.4193;0.4551,0.0484;0.0108;-0.0444;-0.0737,,,,
0,1,1,0,90,110,0,90,110,0,2.7,1.1,3.6,0,-1.4764,"7.2,12.8",,60.7055;26.9101,113.989;79.92,0.4478;0.4047,0.1451;0.1084,,,,
0,1,1,0,100,100,0,100,100,0,3,1,4,0,-1.8778,,10.8,,,,,27.3215,78.4077,0.7377,0.127
0,1,1,0,110,90,0,110,90,0,3.3,0.9,4.4,0,-1.9366,,,,,,,,,,
0,1,1,0,120,80,0,120,80,0,3.6,0.8,4.8,0,-1.9808,"11.36,12.8",12.16,3.7752;3.3639,83.0131;74.1401,0.6709;0.6535,0.0688;0.054,16.2864,58.2156,0.7162,0.4125
0,1,1,0,130,70,0,130,70,0,3.9,0.7,5.2,0,-2.1776,,6.56,,,,,10.8284,112.3492,0.8668,0.3303
0,1,1,0,140,60,0,140,60,0,4.2,0.6,5.6,0,-3.973,"13.28,14.48,15.92,17.52",13.68,81.9016;84.3256;132.9979;121.8686,66.5335;107.1362;135.4636;119.7249,3.0905;1.9762;3.0074;2.8676,-0.2448;-0.6834;-1.325;-1.1005,78.169,27.1639,3.2712,1.2097
0,1,1,0,150,50,0,150,50,0,4.5,0.5,6,0,-1.9525,"4.16,5.36,12.64,14.24",,110.8281;80.959;27.2984;21.3641,131.7475;128.8158;69.316;63.3506,0.6867;0.6761;0.6045;0.6093,0.2344;0.1759;0.136;0.1263,,,,
0,1,1,0,160,40,0,160,40,0,4.8,0.4,6.4,0,-1.847,"7.52,8.88,10.24,12.64",,63.2669;47.3543;28.5096;18.6679,70.535;82.9323;82.7848;74.4749,0.3953;0.4046;0.4194;0.3932,0.0923;0.0313;-0.0168;-0.0456,,,,
0,1,1,0,170,30,0,170,30,0,5.1,0.3,6.8,0,-4.1795,14.08,,24.0505,29.0454,0.9582,0.0236,,,,
0,1,1,0,180,20,0,180,20,0,5.4,0.2,7.2,0,-3.7943,"9.76,11.2,14.4",,27.8126;23.4396;18.9078,37.9277;35.0797;31.4857,0.9171;0.9713;0.9937,0.0271;-0.0587;-0.0848,,,,
0,1,1,0,190,10,0,190,10,0,5.7,0.1,7.6,0,-49.0265,13.68,14.64,4.4013,2.6691,1.1427,0.2155,3.1444,1.2146,0.9858,0.337
0,1,1,0,200,0,0,200,0,0,6,0,8,0,-13.6128,"15.28,15.76",,3.7635;3.0873,1.3751;1.2293,1.0085;1.0354,0.0087;0.0064,,,,
0,0,1,1,0,200,0,0,0,200,0,0,4,2,-2.2456,,,,,,,,,,
0,0,1,1,10,190,0,0,10,190,0,0.1,3.8,1.9,-3.7311,,,,,,,,,,
0,0,1,1,20,180,0,0,20,180,0,0.2,3.6,1.8,-14.4181,"11.6,13.12,14.64,16.0",,15.934;15.3126;14.897;13.3083,8.6366;8.5544;9.0389;8.9593,1.026;1.018;1.0043;1.0671,-0.0262;-0.0364;-0.0788;-0.1141,,,,
0,0,1,1,30,170,0,0,30,170,0,0.3,3.4,1.7,-51.1079,"9.04,13.12,14.4,16.0",,9.588;9.2381;9.1153;8.9628,4.1396;3.5976;3.6219;3.6555,1.0574;1.044;1.0085;0.9901,-0.0105;0.0178;0.0048;-0.021,,,,
0,0,1,1,40,160,0,0,40,160,0,0.4,3.2,1.6,-3.0695,9.68,,36.042,49.9829,0.7744,0.1443,,,,
0,0,1,1,50,150,0,0,50,150,0,0.5,3,1.5,-2.7414,"5.28,6.8,8.08,9.68",,73.5598;58.1246;47.8871;33.0352,72.6191;73.531;72.4203;68.4803,0.8829;0.852;0.8248;0.8589,0.095;0.0498;-0.0006;-0.084,,,,
0,0,1,1,60,140,0,0,60,140,0,0.6,2.8,1.4,-3.8999,"7.2,8.4,9.76,11.2",,41.6946;38.3779;32.6764;26.6295,39.004;39.6332;40.5498;37.5813,0.9222;0.8913;0.8906;0.9532,0.0659;0.0288;-0.0377;-0.0563,,,,
0,0,1,1,70,130,0,0,70,130,0,0.7,2.6,1.3,-2.8976,"9.68,11.04,14.24",4.24,47.3919;36.9012;25.1095,60.4266;57.5808;51.4353,0.72;0.7613;0.7582,0.1134;0.105;0.109,56.2704,48.5912,0.9331,0.2864
0,0,1,1,80,120,0,0,80,120,0,0.8,2.4,1.2,-2.0125,,,,,,,,,,
0,0,1,1,90,110,0,0,90,110,0,0.9,2.2,1.1,-3.0515,,,,,,,,,,
0,0,1,1,100,100,0,0,100,100,0,1,2,1,-2.088,9.52,4.24,39.0772,74.4222,0.698,0.1041,49.1483,76.2991,0.8841,0.3119
0,0,1,1,110,90,0,0,110,90,0,1.1,1.8,0.9,-1.4597,"8.08,9.52,10.96",,88.1196;49.1714;26.4773,140.583;139.3746;116.1593,0.3895;0.4143;0.4619,0.0662;0.0044;0.0012,,,,
0,0,1,1,120,80,0,0,120,80,0,1.2,1.6,0.8,-2.4586,"8.24,9.52",4.24,44.4834;33.5738,62.8335;63.6336,0.701;0.7145,0.13;0.072,45.9844,56.7488,0.8897,0.2867
0,0,1,1,130,70,0,0,130,70,0,1.3,1.4,0.7,-1.4749,,4.24,,,,,-111.2883,237.0561,0.7769,0.4544
0,0,1,1,140,60,0,0,140,60,0,1.4,1.2,0.6,-1.3905,9.68,,28.7094,77.5052,0.3718,0.0522,,,,
0,0,1,1,150,50,0,0,150,50,0,1.5,1,0.5,-1.2403,"8.24,9.6",,51.8739;31.8067,120.4226;121.5749,0.3953;0.4115,0.0933;0.0333,,,,
0,0,1,1,160,40,0,0,160,40,0,1.6,0.8,0.4,-1.5771,,,,,,,,,,
0,0,1,1,170,30,0,0,170,30,0,1.7,0.6,0.3,-1.8252,,4.16,,,,,-119.1589,215.5666,0.8018,0.4725
0,0,1,1,190,10,0,0,190,10,0,1.9,0.2,0.1,-1.8965,,"4.4,8.96",,,,,-98.1092;-45.4809,300.7658;101.5161,1.2472;0.5379,0.2573;0.3867
0,0,1,1,200,0,0,0,200,0,0,2,0,0,-1.287,"8.16,9.84,11.6",10.64,2.079;-7.7973;-1.0104,177.8364;144.449;119.4351,0.4888;0.5079;0.4958,0.0685;0.0409;0.0761,20.8416,101.5161,0.5379,0.335