Al91Zn5.2Mg2.3Cu1.5,Mg,SiCp,CNTs,固溶温度（℃）,固溶时间（min）,时效温度（℃）,时效时间（h）,维氏硬度（HV）,维氏硬度（HV）方差,屈服强度（Mpa）,屈服强度（Mpa）方差,抗拉强度（Mpa）,抗拉强度（Mpa）方差,延伸率（%）,延伸率（%）方差
100,0,0,0,460,50,120,24,175.1,0.23,-,,-,,-,
85,0,15,0,460,50,120,24,194.21,2.34,-,,-,,-,
85,0,14.5,0.5,460,50,120,24,184.65,4.16,-,,-,,-,
85,0,14,1,460,50,120,24,171.12,5.15,-,,-,,-,
100,0,0,0,465,50,120,24,175.64,1.34,-,,-,,-,
85,0,15,0,465,50,120,24,196.14,6.71,-,,-,,-,
85,0,14.5,0.5,465,50,120,24,183.16,7.34,-,,-,,-,
85,0,14,1,465,50,120,24,177.43,5.43,-,,-,,-,
100,0,0,0,470,30,120,24,176.23,2.24,-,,-,,-,
85,0,15,0,470,30,120,24,200.53,6.35,-,,-,,-,
85,0,14.5,0.5,470,30,120,24,187.25,8.52,-,,-,,-,
85,0,14,1,470,30,120,24,185.65,7.43,-,,-,,-,
100,0,0,0,470,40,120,24,176.24,1.43,-,,-,,-,
85,0,15,0,470,40,120,24,200.89,6.34,-,,-,,-,
85,0,14.5,0.5,470,40,120,24,190.34,6.18,-,,-,,-,
85,0,14,1,470,40,120,24,181.12,6.23,-,,-,,-,
100,0,0,0,470,50,120,24,175.56,0.23,-,,-,,-,
85,0,15,0,470,50,120,24,196.45,7.57,-,,-,,-,
85,0,14.5,0.5,470,50,120,24,188.71,3.76,-,,-,,-,
85,0,14,1,470,50,120,24,184.23,5.56,-,,-,,-,
100,0,0,0,470,60,120,24,178.87,0.78,-,,-,,-,
85,0,15,0,470,60,120,24,191.35,4.67,-,,-,,-,
85,0,14.5,0.5,470,60,120,24,184.43,5.87,-,,-,,-,
85,0,14,1,470,60,120,24,180.05,6.45,-,,-,,-,
100,0,0,0,475,60,120,24,174.34,1.04,-,,-,,-,
85,0,15,0,475,60,120,24,163.65,8.98,-,,-,,-,
85,0,14.5,0.5,475,60,120,24,166.12,10.45,-,,-,,-,
100,0,0,0,470,60,120,24,-,,550.15,1.52,608.02,4.53,7.54,0.78
85,0,15,0,470,60,120,24,-,,380.05,24.45,461.15,17.67,6.06,0.56
85,0,14.5,0.5,470,60,120,24,-,,395.13,5.98,462.14,7.45,5.45,0.56
100,0,0,0,470,40,120,12,-,,531.34,6.45,597.04,5.78,10.78,0.56
85,0,15,0,470,40,120,12,-,,520.13,3.23,578.12,2.14,4.79,0.34
84,1,15,0,470,40,120,12,-,,605.34,20.34,640.56,6.34,1.84,0.14
85,0,14.5,0.5,470,40,120,12,-,,506.14,4.78,570.14,3.25,4.53,0.15
84,1,14.5,0.5,470,40,120,12,-,,604.25,1.35,641.26,6.17,2.25,0.34
100,0,0,0,470,50,120,12,-,,521.34,8.14,587.98,5.25,7.63,0.14
85,0,15,0,470,50,120,12,-,,524.14,4.34,571.35,6.35,4.09,0.45
85,0,14.5,0.5,470,50,120,12,-,,504.24,6.14,555.14,4.23,3.32,0.15
100,0,0,0,470,40,120,9,-,,507.12,0.23,590.43,0.34,9.28,0.13
85,0,15,0,470,40,120,9,-,,497.1,2.2,571.4,0.7,3.5,0.3
85,0,14.5,0.5,470,40,120,9,-,,484.4,2.9,553.6,5.4,2.7,0.3
84,1,14.5,0.5,470,40,120,9,-,,582.1,9.5,620.1,4.6,2.1,0.2
100,0,0,0,470,40,120,15,-,,523.1,4.9,594.1,4.5,8.5,1.2
99,1,0,0,470,40,120,15,-,,566.1,21.1,630.1,6.9,5.7,1.6
85,0,15,0,470,40,120,15,-,,506.1,8,584.1,7.2,4.6,0.3
84,1,15,0,470,40,120,15,-,,580.1,5.1,640.1,5.2,2.8,0.2
85,0,14.5,0.5,470,40,120,15,-,,490.2,16.2,570.1,9.2,5,0.1
84,1,14.5,0.5,470,40,120,15,-,,584.3,6.2,646.9,2.7,3.3,0.1